Age,Income,YearsWorked,Credible
39,2728,22,0
38,2878,11,1
56,3532,15,0
65,4661,36,1
60,4253,12,1
25,1841,8,1
27,1858,11,0
49,3605,10,1
19,1095,0,0
32,2085,7,0
31,2003,6,0
29,1966,5,0
62,4431,3,1
27,2062,8,1
51,3534,3,0
28,1801,2,0
18,1413,2,1
55,3780,36,0
35,2302,14,0
44,3052,15,0
43,3248,24,1
25,1787,1,1
50,3515,23,1
49,3270,7,0
43,2945,0,0
26,1946,4,1
47,3609,8,1
60,4220,27,1
53,3718,3,1
24,1960,1,1
54,3919,10,1
58,3956,18,0
36,2468,7,0
41,2705,23,0
65,4706,8,1
25,1965,8,1
20,1431,1,1
51,3632,28,1
63,4878,23,1
34,2392,6,1
64,4401,21,0
51,3696,9,1
37,2660,8,1
50,3542,5,1
22,1809,5,1
63,4474,9,1
30,1953,7,0
53,3964,37,1
17,1335,1,1
65,4804,38,1
48,3575,22,1
64,4242,31,0
53,4123,15,1
24,1761,0,1
41,2908,24,1
39,2395,23,0
55,3801,27,0
32,2106,7,0
61,4121,4,0
23,1310,2,0
52,3623,6,0
49,3169,15,0
31,2338,7,1
21,1864,0,1
54,4135,19,1
33,2363,9,1
50,3399,28,0
17,1179,1,0
50,3432,8,0
50,3444,15,0
61,4343,5,1
62,4403,6,1
44,3348,20,1
21,1819,3,1
23,1686,6,1
62,4190,6,0
55,3699,25,0
61,4781,39,1
44,2955,27,0
58,3937,23,0
50,3518,1,1
17,1160,1,0
49,3604,9,1
37,2612,6,1
44,2993,2,0
27,2126,0,1
30,2204,10,1
49,3607,3,1
57,3999,8,1
24,1881,6,1
33,2186,4,0
58,3884,42,0
48,3479,25,1
33,2360,15,1
36,2336,3,0
21,1450,2,0
25,1942,4,1
48,3258,20,0
51,3720,22,1
19,1381,2,1
54,3861,4,1
49,3392,8,0
44,3162,12,1
21,1502,1,1
22,1696,6,1
65,4551,3,1
17,1290,1,1
47,3530,24,1
27,1925,7,1
22,1485,2,0
30,2209,8,1
33,2350,3,1
41,2802,24,0
21,1229,5,0
53,3732,8,1
17,1263,1,1
52,3572,11,0
16,1279,0,1
44,3029,20,0
39,2490,15,0
51,3670,1,1
50,3506,34,1
50,3330,27,0
60,4100,14,0
53,3973,34,1
28,1921,10,0
63,4645,37,1
20,1378,2,0
37,2838,16,1
37,2186,14,0
47,3009,7,0
29,1639,12,0
64,4428,43,0
34,2503,4,1
20,1540,1,1
56,3986,30,1
48,3736,32,1
35,2251,6,0
23,1827,1,1
60,4329,6,1
58,4744,33,1
25,1651,7,0
26,1814,5,0
60,3748,5,0
38,2610,16,0
18,1417,1,1
17,1159,1,0
61,4433,9,1
23,1412,0,0
16,977,0,0
38,2553,12,0
37,2497,14,0
44,3118,20,1
20,1090,4,0
50,3633,23,1
27,1868,7,0
47,3215,30,0
28,1861,2,0
20,1611,1,1
54,3873,30,1
27,1742,7,0
42,2634,12,0
60,4506,41,1
60,4179,4,0
65,4442,20,0
45,3442,8,1
30,2084,13,0
43,3112,15,1
50,3473,24,0
21,1593,4,1
23,1531,1,0
43,2771,25,0
50,3533,0,1
22,1447,1,0
59,4085,16,0
46,3205,17,0
22,1633,5,1
22,1265,2,0
45,3058,3,0
47,3134,6,0
31,2030,5,0
23,1181,2,0
27,1698,8,0
16,795,0,0
29,2005,0,0
27,1742,3,0
57,3888,8,0
51,3434,17,0
59,4137,35,1
55,3895,22,1
23,1231,0,0
58,3797,2,0
55,3883,36,1
58,4083,11,1
31,1898,12,0
42,2868,18,0
58,4535,13,1
33,2086,2,0
41,2911,24,1
62,4630,33,1
21,1137,4,0
20,1487,3,1
65,4268,35,0
26,1576,3,0
17,585,0,0
60,3782,0,0
17,1279,1,1
20,1185,2,0
43,3106,14,1
42,2928,15,0
62,4314,36,0
58,3938,8,0
38,2512,5,0
